Item #,Latitude,Longitude,Zip_Code,State Abbrv. ,State,Year,TimeStamp,Event (short name),Event Class,Gender of Victim(s)
348,40.713956,-73.981934,10002,NY,New York,2014,2014-09-04T00:00:00,Assault,crimes against people,female
349,39.96028,-83.001709,43215,OH,Ohio,2014,2014-10-17T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),female
350,40.713956,-73.981934,10002,NY,New York,2014,2014-04-20T00:00:00,Assault,crimes against people,male
351,40.713956,-73.981934,10002,NY,New York,2014,2014-04-09T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),female
352,28.148292,-82.280645,33592,FL,Florida,2017,2017-02-24T00:00:00,Vandalism,crimes against property,male and female
353,42.304356,-83.143587,48120,MI,Michigan,2017,2017-02-18T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
354,38.853946,-94.78137,66062,KS,Kansas,2017,2017-02-22T00:00:00,Homicide,crimes against people,male
355,38.336523,-81.616026,25311,WV,West Virginia,2017,2017-02-22T00:00:00,Public Campaign,public campaigns (targeting community),male and female
356,39.497501,-75.072885,8360,NJ,New Jersey,2017,2017-02-22T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
357,40.420178,-80.001004,15210,PA,Pennsylvania,2017,2017-02-21T00:00:00,Homicide,crimes against people,male
358,26.074362,-80.150757,33315,FL,Florida,2017,2017-02-07T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),male and female
359,28.011538,-82.374061,33610,FL,Florida,2015,2015-12-10T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
360,27.993681,-82.371154,33610,FL,Florida,2015,2015-12-10T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
361,33.019747,-96.698828,75074,TX,Texas,2015,2015-12-08T00:00:00,Vandalism,bias-related incident (targeting individual or specific group),male and female
362,47.90006,-97.044581,58201,ND,North Dakota,2015,2015-12-08T00:00:00,Arson,crimes against property,male and female
363,36.137875,-95.965576,74104,OK,Oklahoma,2014,2014-01-03T00:00:00,Assault,crimes against people,female
364,33.825934,-84.072361,30039,GA,Georgia,2015,2015-12-07T00:00:00,Education Discrimination,bias-related incident (targeting individual or specific group),female
365,34.025348,-84.626312,30144,GA,Georgia,2014,2014-12-03T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
366,41.975827,-91.653442,52401,IA,Iowa,2014,2014-05-21T00:00:00,Education Discrimination,public speech (political figures),male and female
367,36.173357,-86.813965,37208,TN,Tennessee,2014,2014-01-26T00:00:00,Political Speech,public speech (political figures),male and female
368,36.155618,-96.009521,74127,OK,Oklahoma,2014,2014-05-23T00:00:00,Public Campaign,bias-related incident (targeting individual or specific group),male and female
369,39.872133,-84.228272,45414,OH,Ohio,2015,2015-12-07T00:00:00,Violent Threat,crimes against people,male
370,45.01967,-93.215218,55406,MN,Minnesota,2014,2014-12-24T00:00:00,Anti-Mosque Campaign,bias-related incident (targeting individual or specific group),male and female
371,37.7173,-122.104368,94546,CA,California,2015,2015-12-06T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male
372,32.724043,-116.967702,91978,CA,California,2017,2017-02-23T00:00:00,Political Speech,public speech (political figures),male and female
373,38.917884,-77.222557,22102,VA,Virginia,2016,2016-11-27T00:00:00,Assault,crimes against people,male
374,39.678915,-104.876996,80231,CO,Colorado,2017,2017-02-26T00:00:00,Vandalism,crimes against property,male and female
375,44.337294,-69.784598,4330,ME,Maine,2017,2017-01-30T00:00:00,Public Campaign,public campaigns (targeting community),male and female
376,39.105521,-77.003646,20905,MD,Maryland,2017,2017-02-27T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
377,39.044136,-77.063781,20853,MD,Maryland,2017,2017-02-27T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
378,42.372109,-83.467273,48170,MI,Michigan,2017,2017-02-28T00:00:00,Political Speech,public speech (political figures),female
379,38.893972,-77.036519,20500,DC,District of Columbia,2017,2017-01-24T00:00:00,Political Appointment,public speech (political figures),male and female
380,38.907332,-77.036498,20036,DC,District of Columbia,2015,2015-12-07T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male
381,30.308022,-97.750597,78731,TX,Texas,2015,2015-12-06T00:00:00,Harassment,bias-related incident (targeting individual or specific group),female
382,38.799722,-77.521983,20109,VA,Virginia,2015,2015-12-02T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
383,40.732659,-74.058229,7306,NJ,New Jersey,2015,2015-11-24T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
384,32.783234,-117.119751,92108,CA,California,2015,2015-12-06T00:00:00,Harassment,bias-related incident (targeting individual or specific group),male
385,35.49125,-97.502139,73105,OK,Oklahoma,2017,2017-03-02T00:00:00,Education Discrimination,public speech (political figures),male
386,40.717266,-74.072523,7304,NJ,New Jersey,2017,2017-03-03T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
387,40.529662,-74.468175,8854,NJ,New Jersey,2017,2017-03-02T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
388,40.749809,-73.987749,10001,NY,New York,2015,2015-12-01T00:00:00,Harassment,bias-related incident (targeting individual or specific group),female
389,33.54655,-112.112845,85051,AZ,Arizona,2015,2015-11-28T00:00:00,Vandalism,bias-related incident (targeting individual or specific group),male and female
390,40.68975,-74.174538,7114,NJ,New Jersey,2015,2015-11-24T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),female
391,33.56196,-101.953897,79407,TX,Texas,2015,2015-11-24T00:00:00,Vandalism,crimes against property,male and female
392,40.681917,-73.95001,11216,NY,New York,2015,2015-11-20T00:00:00,Violent Incident,crimes against people,female
393,27.694244,-97.336668,78412,TX,Texas,2015,2015-11-19T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
394,40.862564,-73.859206,10469,NY,New York,2015,2015-11-19T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
395,40.582622,-73.965696,11235,NY,New York,2017,2017-02-28T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
396,33.940654,-84.115952,30044,GA,Georgia,2017,2017-02-24T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
397,33.899059,-84.170036,30093,GA,Georgia,2017,2017-02-18T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
398,33.785826,-84.401554,30318,GA,Georgia,2017,2017-02-18T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
399,34.742609,-86.648666,35816,AL,Alabama,2017,2017-02-18T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
400,38.893158,-77.025034,20002,DC,District of Columbia,2017,2017-03-06T00:00:00,Executive Order,legislation (targeting community),male and female
401,38.073687,-84.475261,40511,KY,Kentucky,2017,2017-03-04T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
402,38.861666,-77.146468,22044,VA,Virginia,2015,2015-11-19T00:00:00,Harassment,crimes against property,male and female
404,40.663045,-74.112675,7002,NJ,New Jersey,2017,2017-03-06T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
405,40.668335,-74.117804,7002,NJ,New Jersey,2016,2016-10-14T00:00:00,Vandalism,crimes against property,male and female
406,39.347806,-84.384141,45069,OH,Ohio,2017,2017-03-04T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
407,40.553282,-105.110182,80526,CO,Colorado,2017,2017-03-05T00:00:00,Public Campaign,public campaigns (targeting community),male and female
408,37.825311,-122.13074,94556,CA,California,2017,2017-03-01T00:00:00,Education Discrimination,bias-related incident (targeting individual or specific group),male and female
409,38.61687,-121.530762,95833,CA,California,2014,2014-03-26T00:00:00,Homicide,crimes against people,male
410,47.606163,-122.277832,98122,WA,Washington,2014,2014-12-10T00:00:00,Assault,crimes against people,male
411,40.580585,-74.159775,10314,NY,New York,2014,2014-10-09T00:00:00,Harassment,bias-related incident (targeting individual or specific group),female
412,40.800946,-73.727789,11023,NY,New York,2014,2014-10-09T00:00:00,Harassment,bias-related incident (targeting individual or specific group),male
413,40.677514,-73.944511,11216,NY,New York,2014,2014-10-22T00:00:00,Harassment,bias-related incident (targeting individual or specific group),female
414,42.892064,-78.87085,14203,NY,New York,2014,2014-10-30T00:00:00,Harassment,bias-related incident (targeting individual or specific group),male and female
415,40.691914,-73.798277,11435,NY,New York,2017,2017-03-06T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
416,34.051997,-118.244578,90012,CA,California,2015,2015-11-14T00:00:00,Hate Speech,bias-related incident (targeting individual or specific group),male and female
417,41.786929,-87.752266,60638,IL,Illinois,2015,2015-11-18T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),male
418,29.520722,-98.564143,78229,TX,Texas,2015,2015-11-15T00:00:00,Harassment,crimes against property,male and female
419,39.177449,-76.668434,21240,MD,Maryland,2015,2015-11-17T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),male and female
420,29.627339,-95.652981,77478,TX,Texas,2015,2015-11-17T00:00:00,Violent Threat,crimes against people,male and female
421,39.13299,-84.515076,45219,OH,Ohio,2015,2015-11-16T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
422,39.085304,-77.150803,20850,MD,Maryland,2014,2014-11-13T00:00:00,Education Discrimination,bias-related incident (targeting individual or specific group),male and female
423,34.100434,-117.302399,92410,CA,California,2014,2014-10-22T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
424,38.474954,-77.995857,22701,VA,Virginia,2017,2017-03-10T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
425,27.318047,-80.34997,34950,FL,Florida,2017,2017-03-10T00:00:00,Arson,crimes against property,male and female
426,44.936455,-123.025506,97301,OR,Oregon,2017,2017-03-07T00:00:00,Assault,crimes against people,male
427,42.202105,-83.692174,48197,MI,Michigan,2017,2017-03-11T00:00:00,Vandalism,crimes against property,male and female
428,40.755791,-73.935805,11101,NY,New York,2017,2017-03-08T00:00:00,Burglary,crimes against property,male and female
429,42.008816,-93.575535,50010,IA,Iowa,2017,2017-03-12T00:00:00,National Political Speech,public speech (political figures),male and female
430,45.629405,-122.676086,98660,WA,Washington,2014,2014-03-28T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),male
431,40.127441,-74.882641,19007,PA,Pennsylvania,2014,2014-12-08T00:00:00,Anti-Mosque Campaign,bias-related incident (targeting individual or specific group),male and female
432,41.193123,-74.106903,10970,NY,New York,2014,2014-03-31T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),male
433,42.358544,-71.054077,2109,MA,Massachusetts,2014,2014-05-29T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),male
434,39.935013,-75.162964,19147,PA,Pennsylvania,2014,2014-03-06T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),male
435,38.86195,-77.146972,22044,VA,Virginia,2017,2017-02-17T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
436,38.797276,-76.993647,20745,MD,Maryland,2017,2017-03-03T00:00:00,Education Discrimination,bias-related incident (targeting individual or specific group),female
437,42.550678,-83.048658,48310,MI,Michigan,2017,2017-03-14T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
438,46.586592,-112.020088,59601,MT,Montana,2017,2017-03-13T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
439,32.23462,-110.957633,85719,AZ,Arizona,2017,2017-03-13T00:00:00,Vandalism,crimes against property,male and female
440,35.624756,-106.050253,87507,NM,New Mexico,2017,2017-03-06T00:00:00,Vandalism,crimes against property,male and female
441,37.353239,-121.956139,95050,CA,California,2014,2014-12-22T00:00:00,Harassment,bias-related incident (targeting individual or specific group),male
443,40.713956,-73.970947,11211,NY,New York,2014,2014-10-07T00:00:00,Harassment,bias-related incident (targeting individual or specific group),male and female
444,44.980342,-93.284912,55405,MN,Minnesota,2014,2014-12-26T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),male and female
445,41.302571,-73.55072,10590,CT,Connecticut,2014,2014-05-07T00:00:00,Education Discrimination,bias-related incident (targeting individual or specific group),male and female
446,33.449777,-112.071533,85004,AZ,Arizona,2014,2014-02-27T00:00:00,Political Speech,public speech (political figures),male and female
447,29.42046,-98.470459,78205,TX,Texas,2014,2014-11-18T00:00:00,Education Discrimination,public campaigns (targeting community),male and female
448,38.289212,-77.56824,22407,VA,Virginia,2015,2015-11-17T00:00:00,Anti-Mosque Campaign,bias-related incident (targeting individual or specific group),male and female
449,35.172282,-80.851232,28209,NC,North Carolina,2015,2015-11-15T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male
450,45.453342,-122.713106,97219,OR,Oregon,2015,2015-11-15T00:00:00,Public Campaign,public campaigns (targeting community),male and female
451,42.321493,-83.175774,48126,MI,Michigan,2015,2015-11-14T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
452,28.551882,-81.218137,32825,FL,Florida,2015,2015-11-15T00:00:00,Vandalism,crimes against property,male and female
453,41.291262,-96.02584,68134,NE,Nebraska,2015,2015-11-14T00:00:00,Vandalism,crimes against property,male and female
454,41.810476,-72.294159,6269,CT,Connecticut,2015,2015-11-14T00:00:00,Vandalism,bias-related incident (targeting individual or specific group),male
455,41.519776,-72.840246,6410,CT,Connecticut,2015,2015-11-13T00:00:00,Violent Incident,crimes against property,male and female
456,35.203971,-97.431457,73071,OK,Oklahoma,2015,2015-11-15T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
457,27.857821,-82.730473,33782,FL,Florida,2015,2015-11-13T00:00:00,Violent Threat,crimes against people,male and female
458,30.174645,-82.635609,32025,FL,Florida,2017,2017-03-16T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),male
459,44.547053,-88.045067,54303,WI,Wisconsin,2017,2017-01-17T00:00:00,Burglary,crimes against property,male and female
460,37.243406,-80.415974,24060,VA,Virginia,2017,2017-02-25T00:00:00,Burglary,crimes against property,male and female
461,33.668631,-85.812932,36207,AL,Alabama,2017,2017-03-10T00:00:00,Burglary,crimes against property,male and female
462,34.001087,-85.985366,35903,AL,Alabama,2017,2017-03-10T00:00:00,Burglary,crimes against property,male and female
463,33.206704,-87.555875,35401,AL,Alabama,2017,2017-03-14T00:00:00,Burglary,crimes against property,male and female
464,33.138845,-96.742172,75035,TX,Texas,2017,2017-03-17T00:00:00,Education Discrimination,public speech (political figures),male and female
465,41.611624,-93.703058,50322,IA,Iowa,2017,2017-03-19T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
466,38.882277,-77.226908,22180,VA,Virginia,2017,2017-03-13T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),female
467,46.586138,-112.017363,59601,MT,Montana,2017,2017-03-20T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
468,40.64828,-73.818598,11422,NY,New York,2017,2017-03-13T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),male
469,38.892494,-77.03904,20006,DC,District of Columbia,2017,2017-03-21T00:00:00,Anti-Mosque Campaign,public speech (political figures),male and female
470,40.179218,-75.54799,19475,PA,Pennsylvania,2017,2017-02-21T00:00:00,National Political Speech,public speech (political figures),male and female
471,46.873086,-96.764338,56560,MN,Minnesota,2017,2017-03-18T00:00:00,Harassment,bias-related incident (targeting individual or specific group),female
472,40.691637,-73.798084,11435,NY,New York,2017,2017-03-06T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
473,37.759587,-122.427177,94114,CA,California,2017,2017-03-17T00:00:00,Harassment,crimes against people,female
474,35.297334,-80.746422,28262,NC,North Carolina,2017,2017-03-23T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),female
475,47.897945,-122.294097,98275,WA,Washington,2017,2017-03-23T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),male and female
476,37.543748,-77.441302,23219,VA,Virginia,2017,2017-03-20T00:00:00,Political Speech,public speech (political figures),male and female
477,42.32565,-87.856743,60064,IL,Illinois,2017,2017-03-24T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),male
478,40.568442,-105.094335,80521,CO,Colorado,2017,2017-03-26T00:00:00,Vandalism,crimes against property,male and female
479,34.295551,-83.818651,30501,GA,Georgia,2016,2016-08-23T00:00:00,Violent Threat,crimes against people,male
480,41.763302,-72.68382,6106,CT,Connecticut,2017,2017-01-27T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
481,35.673247,-105.949252,87505,NM,New Mexico,2017,2017-03-26T00:00:00,Vandalism,crimes against property,male and female
482,44.969519,-93.245666,55454,MN,Minnesota,2017,2017-03-24T00:00:00,Assault,crimes against people,male
483,38.789633,-77.075084,22303,VA,Virginia,2017,2017-03-27T00:00:00,Vandalism,crimes against property,male and female
484,42.237748,-88.018631,60047,IL,Illinois,2017,2017-03-22T00:00:00,Violent Threat,crimes against property,male and female
485,45.523074,-122.375255,97060,OR,Oregon,2017,2017-03-28T00:00:00,Violent Threat,crimes against property,male
486,41.247289,-96.121402,68144,NE,Nebraska,2017,2017-03-31T00:00:00,Anti-Mosque Campaign,public speech (political figures),male and female
487,45.590017,-122.595062,97218,WA,Washington,2017,2017-03-28T00:00:00,Airport Discrimination,legislation (targeting community),female
488,28.606584,-80.824447,32780,FL,Florida,2017,2017-03-14T00:00:00,Education Discrimination,public campaigns (targeting community),male and female
489,40.596228,-74.617081,8807,NJ,New Jersey,2014,2014-12-02T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
490,34.152727,-118.142853,91101,CA,California,2014,2014-05-14T00:00:00,Political Speech,public speech (political figures),male and female
491,30.358619,-81.499414,32225,FL,Florida,2017,2017-04-01T00:00:00,Violent Threat,crimes against people,male and female
492,43.039481,-87.931019,53233-2238,WI,Wisconsin,2017,2017-03-08T00:00:00,Vandalism,crimes against property,male and female
493,31.197532,-89.205894,39401,MS,Mississippi,2017,2017-04-03T00:00:00,Public Campaign,public campaigns (targeting community),male and female
494,44.365664,-100.344679,57501,SD,South Dakota,2017,2017-01-31T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
495,39.738561,-104.986017,80203,CO,Colorado,2017,2017-04-04T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
496,43.662284,-70.275764,4103,ME,Maine,2017,2017-04-04T00:00:00,Vandalism,crimes against property,male and female
497,39.156646,-75.522337,19901,DE,Delaware,2017,2017-04-05T00:00:00,Political Speech,public speech (political figures),male and female
498,45.582449,-94.096012,56379,MN,Minnesota,2017,2017-03-25T00:00:00,Assault,crimes against people,male
499,39.161745,-86.533556,47401,IN,Indiana,2015,2015-10-17T00:00:00,Assault,crimes against people,female
500,47.758945,-122.190714,98011,WA,Washington,2015,2015-11-15T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
501,34.016242,-118.256836,90011,CA,California,2014,2014-07-31T00:00:00,Legislative Discrimination,bias-related incident (targeting individual or specific group),male and female
502,37.544577,-77.420654,23223,VA,Virginia,2014,2014-07-31T00:00:00,Political Speech,bias-related incident (targeting individual or specific group),male and female
503,35.478565,-97.481689,73117,OK,Oklahoma,2014,2014-09-12T00:00:00,National Political Speech,public speech (political figures),male and female
504,26.803982,-80.05439,33408,FL,Florida,2015,2015-12-04T00:00:00,Vandalism,crimes against property,male and female
505,30.259067,-97.712402,78702,TX,Texas,2014,2014-09-28T00:00:00,Vandalism,crimes against property,male and female
506,40.749996,-73.990098,10001,NY,New York,2015,2015-12-07T00:00:00,Assault,crimes against people,male and female
507,47.606141,-122.337597,98101,WA,Washington,2015,2015-12-09T00:00:00,Assault,crimes against people,male
508,43.152976,-79.044313,14092,NY,New York,2017,2017-01-01T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),male and female
509,40.733161,-74.071895,7306,NJ,New Jersey,2015,2015-12-08T00:00:00,Hate Speech,bias-related incident (targeting individual or specific group),male and female
510,40.620468,-74.024484,11209,NY,New York,2015,2015-12-09T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
511,40.585213,-73.977417,11235,NY,New York,2015,2015-12-09T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
512,33.578015,-101.832275,79403,TX,Texas,2014,2014-03-17T00:00:00,Harassment,bias-related incident (targeting individual or specific group),male and female
513,33.54655,-112.112845,85051,AZ,Arizona,2015,2015-12-10T00:00:00,Vandalism,crimes against property,male and female
514,32.843404,-97.010661,75062,TX,Texas,2015,2015-11-25T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
515,33.54655,-112.112845,85051,AZ,Arizona,2015,2015-05-29T00:00:00,Public Campaign,public campaigns (targeting community),male and female
516,32.986861,-96.748878,75080,TX,Texas,2017,2017-03-28T00:00:00,Vandalism,bias-related incident (targeting individual or specific group),male and female
517,43.49669,-96.771977,57108,SD,South Dakota,2017,2017-04-09T00:00:00,Public Campaign,public campaigns (targeting community),male and female
518,42.959155,-87.929624,53221-2875,WI,Wisconsin,2017,2017-04-10T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
519,29.627227,-95.81013,77469,TX,Texas,2015,2015-04-08T00:00:00,Education Discrimination,bias-related incident (targeting individual or specific group),male and female
520,40.552679,-105.038953,80525,CO,Colorado,2015,2015-12-04T00:00:00,Harassment,bias-related incident (targeting individual or specific group),female
521,32.833862,-117.145487,92111,CA,California,2015,2015-01-14T00:00:00,Harassment,crimes against people,male and female
522,41.722835,-87.80297,60455,IL,Illinois,2015,2015-01-18T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
523,42.173749,-88.382816,60156,IL,Illinois,2015,2015-02-06T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
524,42.315734,-83.192446,48126,MI,Michigan,2015,2015-02-12T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male
525,40.70771,-73.964424,11211,NY,New York,2014,2014-04-22T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),male
526,41.723524,-71.492629,2893,RI,Rhode Island,2015,2015-02-14T00:00:00,Vandalism,crimes against property,male and female
527,38.624381,-90.176468,62201,IL,Illinois,2014,2014-06-09T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),male
528,47.803499,-122.188911,98021,WA,Washington,2015,2015-02-15T00:00:00,Vandalism,crimes against property,male and female
529,32.768548,-96.682466,75227,TX,Texas,2015,2015-12-24T00:00:00,Homicide,crimes against people,male
530,42.315433,-71.773896,1606,MA,Massachusetts,2017,2017-04-11T00:00:00,Vandalism,crimes against property,male and female
531,42.342305,-83.045654,48201,MI,Michigan,2014,2014-01-22T00:00:00,National Political Speech,public speech (political figures),male and female
532,40.832612,-73.92536,10452,NY,New York,2017,2017-04-16T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male
533,33.92399,-84.341698,30328,GA,Georgia,2017,2017-04-18T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
534,31.327453,-89.327506,39401,MS,Mississippi,2017,2017-04-13T00:00:00,Vandalism,crimes against property,male and female
535,25.932054,-80.161727,33162,FL,Florida,2017,2017-04-18T00:00:00,Political Speech,public speech (political figures),male and female
536,40.693582,-73.834157,11418,NY,New York,2017,2017-04-06T00:00:00,Vandalism,crimes against property,male and female
537,33.778776,-118.112494,90815,CA,California,2017,2017-04-14T00:00:00,Violent Threat,crimes against property,male
538,32.7724,-117.066461,92115,CA,California,2016,2016-11-09T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
539,42.732766,-84.554172,48933,MI,Michigan,2017,2017-04-17T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
540,32.7736,-117.066407,92115,CA,California,2015,2015-11-19T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
541,40.065494,-83.149509,43016,OH,Ohio,2015,2015-01-09T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
542,40.065494,-83.149509,43016,OH,Ohio,2015,2015-10-10T00:00:00,Public Campaign,public campaigns (targeting community),male and female
543,35.92464,-86.920092,37064,TN,Tennessee,2015,2015-10-26T00:00:00,Education Discrimination,public campaigns (targeting community),male and female
544,29.593265,-95.180451,77034,TX,Texas,2015,2015-02-16T00:00:00,Arson,crimes against property,male and female
545,33.742613,-84.364014,30312,GA,Georgia,2014,2014-06-24T00:00:00,Political Speech,public speech (political figures),male and female
546,38.913666,-76.984908,20002,DC,District of Columbia,2015,2015-02-23T00:00:00,Vandalism,crimes against property,male and female
547,38.913666,-76.984908,20002,DC,District of Columbia,2015,2015-02-25T00:00:00,Burglary,crimes against property,male and female
548,37.947895,-122.328746,94805,CA,California,2015,2015-12-20T00:00:00,Violent Threat,crimes against people,male and female
549,33.05629,-112.044582,85238,AZ,Arizona,2017,2017-03-30T00:00:00,Burglary,crimes against property,male and female
550,33.310877,-111.857686,85224,AZ,Arizona,2017,2017-03-30T00:00:00,Burglary,crimes against property,male and female
551,28.114383,-81.624985,33844,FL,Florida,2014,2014-02-04T00:00:00,Harassment,bias-related incident (targeting individual or specific group),female
552,27.274161,-80.343039,34953,FL,Florida,2017,2017-04-24T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
553,43.666382,-70.276821,4101,ME,Maine,2017,2017-04-24T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),female
554,42.824554,-78.840809,14218,NY,New York,2017,2017-04-22T00:00:00,Arson,crimes against property,male and female
555,45.519019,-122.676054,97204,OR,Oregon,2017,2017-04-21T00:00:00,Harassment,crimes against people,male and female
556,35.660801,-97.475359,73034,OK,Oklahoma,2015,2015-04-12T00:00:00,Vandalism,crimes against property,male and female
557,36.129002,-97.069831,74075,OK,Oklahoma,2015,2015-04-12T00:00:00,Vandalism,crimes against property,male and female
558,47.671138,-117.421475,99201,WA,Washington,2015,2015-07-04T00:00:00,Vandalism,crimes against property,male and female
559,37.286534,-79.999995,24017,VA,Virginia,2015,2015-07-23T00:00:00,Vandalism,crimes against property,male and female
560,41.291262,-96.02584,68134,NE,Nebraska,2015,2015-08-23T00:00:00,Vandalism,crimes against property,male and female
561,32.825004,-97.050476,76155,TX,Texas,2017,2017-05-01T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),male
562,40.841184,-73.863444,10462,NY,New York,2017,2017-04-28T00:00:00,Harassment,bias-related incident (targeting individual or specific group),female
563,25.658993,-80.429449,33186,FL,Florida,2015,2015-09-24T00:00:00,Vandalism,crimes against property,male and female
564,38.967234,-77.359049,20194,VA,Virginia,2017,2017-05-06T00:00:00,Harassment,bias-related incident (targeting individual or specific group),female
565,32.754545,-117.147785,92103,CA,California,2017,2017-05-04T00:00:00,Public Campaign,public campaigns (targeting community),male and female
566,42.281159,-71.728004,1545,MA,Massachusetts,2017,2017-05-01T00:00:00,Public Campaign,public campaigns (targeting community),male
567,42.639231,-87.900109,53144,WI,Wisconsin,2017,2017-05-08T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
568,40.869278,-73.861073,10469,NY,New York,2017,2017-05-02T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
569,26.077754,-97.162399,78597,TX,Texas,2017,2017-05-03T00:00:00,Harassment,bias-related incident (targeting individual or specific group),male and female
570,35.311518,-80.734127,28262,NC,North Carolina,2017,2017-05-10T00:00:00,Vandalism,bias-related incident (targeting individual or specific group),male and female
571,43.378618,-84.654808,48801,MI,Michigan,2017,2017-05-10T00:00:00,Public Campaign,public campaigns (targeting community),male and female
572,44.049751,-123.121065,97402,OR,Oregon,2017,2017-05-09T00:00:00,Violent Threat,crimes against people,male and female
573,25.658993,-80.429449,33186,FL,Florida,2015,2015-09-28T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male and female
574,33.54655,-112.112845,85051,AZ,Arizona,2015,2015-05-23T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
